Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
1,CeeDee Lamb,24,DAL,WR,17,17,181,135,1749,80,1069,7.9,680,5.0,9.5,11,12.3,6,3.3,1,124.3,PBAP-1AP OPoY-3,LambCe00
2,Tyreek Hill,29,MIA,WR,16,16,171,119,1799,83,1147,9.6,652,5.5,10.8,12,9.9,12,7.0,5,117.1,PBAP-1AP MVP-6AP OPoY-2,HillTy00
3,Amon-Ra St. Brown,24,DET,WR,16,16,164,119,1515,75,847,7.1,668,5.6,7.8,10,11.9,8,4.9,3,113.7,PBAP-1,StxxAm00
4,Evan Engram,29,JAX,TE,17,15,143,114,963,47,455,4.0,508,4.5,5.0,5,22.8,7,4.9,3,95.3,PB,EngrEv00
5,Michael Pittman Jr.,26,IND,WR,16,15,156,109,1152,53,639,5.9,513,4.7,7.9,3,36.3,3,1.9,6,83.6,,PittMi01
6,Keenan Allen,31,LAC,WR,13,13,150,108,1243,57,847,7.8,396,3.7,9.6,5,21.6,5,3.3,2,106.6,PB,AlleKe00
7,Stefon Diggs,30,BUF,WR,17,17,160,107,1183,58,784,7.3,399,3.7,10.3,11,9.7,8,5.0,4,94.9,PB,DiggSt00
8,A.J. Brown,26,PHI,WR,17,17,158,106,1456,70,983,9.3,473,4.5,11.7,12,8.8,7,4.4,4,100.6,PBAP-2,BrowAJ00
9,Puka Nacua,22,LAR,WR,17,17,160,105,1486,68,854,8.1,632,6.0,9.1,7,15.0,13,8.1,3,100.2,PBAP-2AP ORoY-2,NacuPu00
10,Davante Adams,31,LVR,WR,17,17,175,103,1144,59,808,7.8,336,3.3,10.9,2,51.5,8,4.6,6,79.3,,AdamDa01
11,Adam Thielen,33,CAR,WR,17,17,137,103,1014,56,669,6.5,345,3.3,7.5,2,51.5,7,5.1,1,102.3,,ThieAd00
12,Ja'Marr Chase,23,CIN,WR,16,16,145,100,1216,63,675,6.8,541,5.4,8.4,6,16.7,5,3.4,2,104.8,PB,ChasJa00
13,D.J. Moore,26,CHI,WR,17,17,136,96,1364,64,825,8.6,539,5.6,10.9,9,10.7,4,2.9,3,113.1,,MoorD.00
14,T.J. Hockenson,26,MIN,TE,15,11,127,95,960,48,624,6.6,336,3.5,7.7,4,23.8,4,3.1,1,105.8,,HockTJ00
15,Garrett Wilson,23,NYJ,WR,17,17,168,95,1042,47,715,7.5,327,3.4,10.2,9,10.6,7,4.2,6,66.1,,WilsGa00
16,Travis Kelce,34,KAN,TE,15,15,121,93,984,50,515,5.5,469,5.0,6.7,4,23.3,7,5.8,2,106.9,PB,KelcTr00
17,Chris Olave,23,NOR,WR,16,11,138,87,1123,57,776,8.9,347,4.0,13.3,3,29.0,6,4.3,3,91.5,,OlavCh00
18,Sam LaPorta,22,DET,TE,17,14,120,86,889,48,531,6.2,358,4.2,7.1,9,9.6,5,4.2,3,110.0,PBAP-2AP ORoY-3,LaPoSa01
19,Chris Godwin,27,TAM,WR,17,17,130,83,1024,53,639,7.7,385,4.6,9.0,2,41.5,5,3.8,3,83.6,,GodwCh00
20,Trey McBride,24,ARI,TE,17,12,106,81,825,42,386,4.8,439,5.4,6.0,10,8.1,3,2.8,4,91.9,,McBrTr01
21,David Njoku,27,CLE,TE,16,16,123,81,882,35,283,3.5,599,7.4,4.5,10,8.1,11,8.9,4,89.5,PB,NjokDa00
22,DeVonta Smith,25,PHI,WR,16,16,112,81,1066,47,772,9.5,294,3.6,12.1,4,20.3,5,4.5,3,111.7,,SmitDe07
23,Nico Collins,24,HOU,WR,15,10,109,80,1297,53,748,9.4,549,6.9,10.9,16,5.0,2,1.8,2,129.6,,CollNi00
24,Mike Evans,30,TAM,WR,17,17,136,79,1255,54,933,11.8,322,4.1,14.0,2,39.5,7,5.1,3,111.6,PBAP-2,EvanMi00
25,Tyler Lockett,31,SEA,WR,17,17,122,79,894,47,684,8.7,210,2.7,10.8,1,79.0,5,4.1,4,86.6,,LockTy00
26,Terry McLaurin,28,WAS,WR,17,17,132,79,1002,47,652,8.3,350,4.4,11.5,4,19.8,5,3.8,4,81.1,,McLaTe00
27,Rashee Rice,23,KAN,WR,16,8,102,79,938,44,285,3.6,653,8.3,4.8,3,26.3,8,7.8,1,123.7,AP ORoY-6,RiceRa01
28,Zay Flowers,23,BAL,WR,16,16,108,77,858,41,467,6.1,391,5.1,8.4,10,7.7,4,3.7,1,106.2,AP ORoY-6,FlowZa00
29,Breece Hall,22,NYJ,RB,17,16,95,76,591,28,-58,-0.8,649,8.5,-0.5,10,7.6,5,5.3,1,102.2,AP CPoY-7,HallBr03
30,Calvin Ridley,29,JAX,WR,17,17,136,76,1016,49,822,10.8,194,2.6,13.2,1,76.0,6,4.4,3,90.2,AP CPoY-7,RidlCa00
31,Brandon Aiyuk,25,SFO,WR,16,16,105,75,1342,61,960,12.8,382,5.1,13.8,2,37.5,2,1.9,3,124.0,AP-2,AiyuBr00
32,DeAndre Hopkins,31,TEN,WR,17,16,137,75,1057,48,834,11.1,223,3.0,14.1,4,18.8,4,2.9,6,78.6,,HopkDe00
