,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank▲,Notes
115,East Carolina,American (East),4,8,0.333,1,7,0.125,26.8,33.7,-9.85,-2.85,,,,
116,South Florida,American (East),4,8,0.333,2,6,0.25,20.8,28.9,-3.26,2.16,,,,
117,Temple,American (East),8,5,0.615,5,3,0.625,26.3,25.9,1.22,-0.09,,,,
118,Georgia Tech,ACC (Coastal),3,9,0.25,2,6,0.25,16.7,32.4,-8.49,2.42,,,,
119,Duke,ACC (Coastal),5,7,0.417,3,5,0.375,25.3,29.2,0.11,2.03,,,,
120,North Carolina,ACC (Coastal),7,6,0.538,4,4,0.5,33.1,23.7,6.38,1.22,,,,
121,Pitt,ACC (Coastal),8,5,0.615,4,4,0.5,21.2,22.5,0.6,0.52,,,,
122,Virginia Tech,ACC (Coastal),8,5,0.615,5,3,0.625,30.8,24.7,3.37,-1.63,,23,,
123,Virginia,ACC (Coastal),9,5,0.643,6,2,0.75,32.1,27.1,6.29,1.5,,18,,
124,Miami (FL),ACC (Coastal),6,7,0.462,4,4,0.5,25.7,20.2,1.97,-0.18,,,,
125,North Carolina State,ACC (Atlantic),4,8,0.333,1,7,0.125,22.1,30.1,-7.82,-0.91,,,,
126,Syracuse,ACC (Atlantic),5,7,0.417,2,6,0.25,28.3,30.7,-2.79,-0.62,22,21,,
127,Florida State,ACC (Atlantic),6,7,0.462,4,4,0.5,27.9,27.8,1.78,2.32,,,,
128,Boston College,ACC (Atlantic),6,7,0.462,4,4,0.5,29,32.2,-0.37,1.17,,,,
129,Wake Forest,ACC (Atlantic),8,5,0.615,4,4,0.5,31.8,29.1,3.23,0,,19,,
130,Louisville,ACC (Atlantic),8,5,0.615,5,3,0.625,33.1,33.4,3.09,2.55,,,,
