Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
ATL,16,459,684,4714,5493,8.0,3126,6.8,4.6,1923,4.2
BUF,16,299,513,3229,4690,9.1,1982,6.6,3.9,1494,5.0
CAR,16,382,633,3650,5275,8.3,2076,5.4,3.3,2058,5.4
CHI,16,371,580,3291,4533,7.8,2029,5.5,3.5,1544,4.2
CIN,16,356,616,3652,4735,7.7,2137,6.0,3.5,1857,5.2
CLE,16,318,539,3554,4628,8.6,2022,6.4,3.8,1825,5.7
IND,16,307,513,3108,4101,8.0,1652,5.4,3.2,1662,5.4
ARI,16,355,554,3477,4127,7.4,1911,5.4,3.4,1886,5.3
DAL,16,388,597,4751,5539,9.3,2984,7.7,5.0,1918,4.9
DEN,16,312,504,3115,3483,6.9,1697,5.4,3.4,1704,5.5
DET,16,344,571,3900,5456,9.6,2683,7.8,4.7,1504,4.4
GNB,16,356,573,3733,5015,8.8,1994,5.6,3.5,2023,5.7
HOU,16,355,534,3783,4718,8.8,2261,6.4,4.2,1822,5.1
JAX,16,364,589,3760,4344,7.4,2077,5.7,3.5,1946,5.3
KAN,16,378,576,4498,4912,8.5,2453,6.5,4.3,2237,5.9
MIA,16,371,615,3804,5419,8.8,2512,6.8,4.1,1605,4.3
MIN,16,319,466,3523,3539,7.6,1878,5.9,4.0,1851,5.8
NOR,16,418,581,4244,3742,6.4,2174,5.2,3.7,2257,5.4
NWE,16,378,620,3961,4676,7.5,2259,6.0,3.6,1894,5.0
NYG,16,376,607,3731,4889,8.1,2245,6.0,3.7,1825,4.9
NYJ,16,323,521,3111,4065,7.8,1693,5.2,3.2,1750,5.4
TEN,16,297,448,3582,3869,8.6,2103,7.1,4.7,1853,6.2
PHI,16,391,613,3833,4906,8.0,2244,5.7,3.7,1819,4.7
PIT,16,315,510,2981,4019,7.9,1461,4.6,2.9,1753,5.6
LVR,16,367,523,3926,3476,6.6,1970,5.4,3.8,2140,5.8
LAR,16,397,632,4499,4853,7.7,2393,6.0,3.8,2276,5.7
BAL,16,289,440,3225,3822,8.7,1903,6.6,4.3,1447,5.0
LAC,16,394,597,4426,5057,8.5,2444,6.2,4.1,2204,5.6
SEA,16,341,517,3791,4869,9.4,2402,7.0,4.6,1708,5.0
SFO,16,331,478,3792,3124,6.5,1837,5.5,3.8,2192,6.6
TAM,16,382,630,4845,6498,10.3,3254,8.5,5.2,1873,4.9
WAS,16,298,479,2812,3639,7.6,1751,5.9,3.7,1454,4.9
