Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
ATL,17,377,573,3713,4127,7.2,2252,6.0,3.9,1735,4.6
BUF,17,415,655,4284,5364,8.2,2690,6.5,4.1,1760,4.2
CAR,17,348,599,3239,4434,7.4,1751,5.0,2.9,1822,5.2
CHI,17,332,542,3207,4468,8.2,2026,6.1,3.7,1609,4.8
CIN,17,384,555,4403,4357,7.9,2357,6.1,4.2,2449,6.4
CLE,17,320,520,3320,4231,8.1,1864,5.8,3.6,1755,5.5
IND,17,324,521,3361,4004,7.7,1931,6.0,3.7,1657,5.1
ARI,17,415,591,4276,4459,7.5,2340,5.6,4.0,2279,5.5
DAL,17,444,647,4800,5073,7.8,2697,6.1,4.2,2266,5.1
DEN,17,354,541,3593,4555,8.4,2115,6.0,3.9,1741,4.9
DET,17,396,593,3598,3781,6.4,1792,4.5,3.0,2092,5.3
GNB,17,402,593,4315,4587,7.7,2125,5.3,3.6,2401,6.0
HOU,17,354,546,3305,3978,7.3,1892,5.3,3.5,1738,4.9
JAX,17,361,604,3436,4772,7.9,2031,5.6,3.4,1643,4.6
KAN,17,448,675,4791,4965,7.4,2209,4.9,3.3,2728,6.1
MIA,17,404,615,3651,4458,7.2,2211,5.5,3.6,1725,4.3
MIN,17,398,604,4238,4838,8.0,2513,6.3,4.2,1937,4.9
NOR,17,293,504,3186,3705,7.4,1752,6.0,3.5,1685,5.8
NWE,17,364,535,3857,4291,8.0,2144,5.9,4.0,1954,5.4
NYG,17,351,593,3196,4331,7.3,1854,5.3,3.1,1609,4.6
NYJ,17,357,603,3541,4354,7.2,1967,5.5,3.3,1992,5.6
TEN,17,359,535,3418,4010,7.5,1967,5.5,3.7,1778,5.0
PHI,17,307,494,3404,4202,8.5,1844,6.0,3.7,1741,5.7
PIT,17,425,664,3778,4422,6.7,1963,4.6,3.0,2054,4.8
LVR,17,429,628,4567,5118,8.1,2521,5.9,4.0,2287,5.3
LAR,17,406,607,4642,5132,8.5,2754,6.8,4.5,2139,5.3
BAL,17,396,611,3961,5239,8.6,2552,6.4,4.2,1715,4.3
LAC,17,443,674,4800,5100,7.6,2627,5.9,3.9,2387,5.4
SEA,17,324,495,3432,4625,9.3,2072,6.4,4.2,1743,5.4
SFO,17,343,514,4221,4001,7.8,2183,6.4,4.2,2254,6.6
TAM,17,492,731,5229,5881,8.0,2790,5.7,3.8,2593,5.3
WAS,17,356,550,3441,4098,7.5,1833,5.1,3.3,1913,5.4
