Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
ATL,16,351,1573,11,84,1006,2.9,567,1.6,20,17.6
BUF,16,468,1984,15,108,967,2.1,1017,2.2,24,19.5
CAR,16,416,2136,17,117,1231,3.0,905,2.2,26,16.0
CHI,16,468,1938,16,108,1132,2.4,806,1.7,19,24.6
CIN,16,359,1682,13,92,947,2.6,735,2.0,9,39.9
CLE,16,411,1893,15,93,808,2.0,1085,2.6,41,10.0
IND,16,408,1718,13,96,940,2.3,778,1.9,18,22.7
ARI,16,355,1342,9,76,757,2.1,585,1.6,13,27.3
DAL,16,439,1963,13,113,1164,2.7,799,1.8,23,19.1
DEN,16,393,1907,18,107,1142,2.9,765,1.9,34,11.6
DET,16,404,1660,11,91,883,2.2,777,1.9,27,15.0
GNB,16,333,1667,14,97,1089,3.3,578,1.7,14,23.8
HOU,16,472,2021,12,94,1227,2.6,794,1.7,23,20.5
JAX,16,416,1723,7,92,1044,2.5,679,1.6,19,21.9
KAN,16,387,1855,16,106,1078,2.8,777,2.0,30,12.9
MIA,16,371,1738,7,75,1018,2.7,720,1.9,21,17.7
MIN,16,357,1493,9,66,850,2.4,643,1.8,22,16.2
NOR,16,471,2025,26,134,946,2.0,1079,2.3,53,8.9
NWE,16,478,2037,18,131,1213,2.5,824,1.7,22,21.7
NYG,16,354,1650,13,71,773,2.2,877,2.5,35,10.1
NYJ,16,410,1622,11,84,755,1.8,867,2.1,28,14.6
TEN,16,456,2027,15,105,976,2.1,1051,2.3,58,7.9
PHI,16,398,1570,12,93,821,2.1,749,1.9,21,19.0
PIT,16,345,1445,16,88,788,2.3,657,1.9,24,14.4
LVR,16,387,1628,9,86,726,1.9,902,2.3,28,13.8
LAR,16,459,2231,23,134,1197,2.6,1034,2.3,29,15.8
BAL,16,547,2441,19,152,1315,2.4,1126,2.1,32,17.1
LAC,16,399,1873,16,99,874,2.2,999,2.5,40,10.0
SEA,16,534,2560,15,133,1528,2.9,1032,1.9,42,12.7
SFO,16,423,1902,7,98,1033,2.4,869,2.1,30,14.1
TAM,16,389,1523,11,80,849,2.2,674,1.7,24,16.2
WAS,16,414,1774,12,96,1102,2.7,672,1.6,26,15.9
