Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
ATL,17,522,2159,14,121,1267,2.4,892,1.7,34,15.4
BUF,17,512,2212,22,158,1275,2.5,937,1.8,24,21.3
CAR,17,445,1769,7,111,969,2.2,800,1.8,34,13.1
CHI,17,534,2399,16,137,1523,2.9,876,1.6,32,16.7
CIN,17,383,1527,12,90,958,2.5,569,1.5,12,31.9
CLE,17,518,2017,15,121,1134,2.2,883,1.7,41,12.6
IND,17,479,2059,19,113,1080,2.3,979,2.0,23,20.8
ARI,17,471,2365,17,127,1526,3.2,839,1.8,39,12.1
DAL,17,468,1920,14,113,1055,2.3,865,1.8,32,14.6
DEN,17,451,1810,8,116,1062,2.4,748,1.7,19,23.7
DET,17,500,2311,27,124,1234,2.5,1077,2.2,40,12.5
GNB,17,441,1905,10,101,1111,2.5,794,1.8,28,15.8
HOU,17,444,1647,10,84,982,2.2,665,1.5,29,15.3
JAX,17,453,1646,17,98,1033,2.3,613,1.4,45,10.1
KAN,17,417,1784,9,107,1173,2.8,611,1.5,23,18.1
MIA,17,456,2308,27,113,1270,2.8,1038,2.3,38,12.0
MIN,17,393,1553,7,79,912,2.3,641,1.6,13,30.2
NOR,17,480,1742,13,112,1049,2.2,693,1.4,21,22.9
NWE,17,415,1627,9,93,859,2.1,768,1.9,19,21.8
NYG,17,454,1874,10,97,1172,2.6,702,1.5,18,25.2
NYJ,17,388,1647,7,77,952,2.5,695,1.8,28,13.9
TEN,17,444,1846,16,103,961,2.2,885,2.0,28,15.9
PHI,17,510,2190,22,149,1446,2.8,744,1.5,33,15.5
PIT,17,487,2010,16,115,996,2.0,1014,2.1,59,8.3
LVR,17,413,1542,11,83,861,2.1,681,1.6,23,18.0
LAR,17,477,2045,18,110,1211,2.5,834,1.7,40,11.9
BAL,17,541,2661,26,145,1685,3.1,976,1.8,46,11.8
LAC,17,431,1642,11,89,978,2.3,664,1.5,23,18.7
SEA,17,382,1580,11,93,1004,2.6,576,1.5,33,11.6
SFO,17,499,2389,27,147,1393,2.8,996,2.0,30,16.6
TAM,17,439,1509,8,79,900,2.1,609,1.4,21,20.9
WAS,17,359,1592,14,99,842,2.3,750,2.1,34,10.6
