Tm,G,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Atlanta Falcons,16,362,1361,10,84,801,2.2,560,1.5,17,21.3
Buffalo Bills,16,465,2054,13,120,1030,2.2,1024,2.2,40,11.6
Carolina Panthers,16,386,1819,20,82,1205,3.1,614,1.6,21,18.4
Chicago Bears,16,395,1458,8,85,893,2.3,565,1.4,41,9.6
Cincinnati Bengals,16,385,1517,9,85,714,1.9,803,2.1,31,12.4
Cleveland Browns,16,393,1901,15,90,851,2.2,1050,2.7,39,10.1
Indianapolis Colts,16,471,2130,17,131,1188,2.5,942,2.0,27,17.4
Arizona Cardinals,16,396,1990,18,109,1289,3.3,701,1.8,23,17.2
Dallas Cowboys,16,449,2153,18,120,1041,2.3,1112,2.5,41,11.0
Denver Broncos,16,409,1662,11,76,963,2.4,699,1.7,40,10.2
Detroit Lions,16,407,1649,7,82,855,2.1,794,2.0,25,16.3
Green Bay Packers,16,411,1795,18,90,1027,2.5,768,1.9,39,10.5
Houston Texans,16,434,2009,17,112,1147,2.6,862,2.0,33,13.2
Jacksonville Jaguars,16,389,1708,3,84,694,1.8,1014,2.6,20,19.5
Kansas City Chiefs,16,375,1569,16,93,807,2.2,762,2.0,28,13.4
Miami Dolphins,16,349,1156,10,64,604,1.7,552,1.6,17,20.5
Minnesota Vikings,16,476,2133,19,106,1067,2.2,1066,2.2,38,12.5
New Orleans Saints,16,405,1738,12,97,961,2.4,777,1.9,43,9.4
New England Patriots,16,447,1703,17,110,991,2.2,712,1.6,28,16.0
New York Giants,16,362,1685,11,89,871,2.4,814,2.2,19,19.1
New York Jets,16,383,1257,6,61,536,1.4,721,1.9,21,18.2
Tennessee Titans,16,445,2223,21,104,940,2.1,1283,2.9,40,11.1
Philadelphia Eagles,16,454,1939,16,104,1044,2.3,895,2.0,31,14.6
Pittsburgh Steelers,16,395,1447,7,75,571,1.4,876,2.2,20,19.8
Oakland Raiders,16,437,1893,13,104,942,2.2,951,2.2,31,14.1
Los Angeles Rams,16,401,1499,20,92,867,2.2,632,1.6,41,9.8
Baltimore Ravens,16,596,3296,21,188,1936,3.2,1360,2.3,32,18.6
Los Angeles Chargers,16,366,1453,12,90,704,1.9,749,2.0,24,15.3
Seattle Seahawks,16,481,2200,15,121,1125,2.3,1075,2.2,38,12.7
San Francisco 49ers,16,498,2305,23,110,1472,3.0,833,1.7,29,17.2
Tampa Bay Buccaneers,16,409,1521,15,81,746,1.8,775,1.9,35,11.7
Washington Redskins,16,356,1583,9,74,680,1.9,903,2.5,15,23.7
