Player,Position,Year,Team,SOS,Draft AV,Completions,Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Yards per Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Yards per Reception
Jordan Whittington,Unknown,2022,Texas,8.16,0.0,0,0,0,0,0,,0,0,0,,50,652,1,13.0
Jordan Whittington,Unknown,2023,Texas,6.61,0.0,0,0,0,0,0,,3,18,0,6.0,42,505,1,12.0
Jaheim Bell,Unknown,2020,South Carolina,7.42,0.0,0,0,0,0,0,,0,0,0,,1,29,0,29.0
Jaheim Bell,Unknown,2021,South Carolina,3.31,0.0,0,0,0,0,0,,7,40,0,5.7,30,497,5,16.6
Jaheim Bell,Unknown,2022,South Carolina,4.17,0.0,0,0,0,0,0,,73,261,3,3.6,25,231,2,9.2
Jaheim Bell,Unknown,2023,Florida State,2.94,0.0,0,0,0,0,0,,4,2,1,0.5,39,503,2,12.9
Devaughn Vele,Unknown,2020,Utah,-2.93,0.0,0,0,0,0,0,,0,0,0,,2,12,0,6.0
Devaughn Vele,Unknown,2021,Utah,1.62,0.0,0,0,0,0,0,,0,0,0,,23,389,1,16.9
Devaughn Vele,Unknown,2022,Utah,3.09,0.0,1,1,9,0,0,175.6,2,-4,0,-2.0,55,695,5,12.6
Devaughn Vele,Unknown,2023,Utah,4.43,0.0,1,3,6,0,0,50.1,0,0,0,,43,593,3,13.8
AJ Barner,N/A,Career Totals,,6.423333333333335,0.0,0,0,0,0,0,,0,0,0,,64,610,5,
Adonai Mitchell,N/A,Career Totals,,6.170000000000001,0.0,0,0,0,0,0,,2,1,0,,93,1405,18,
Anthony Brown,N/A,Career Totals,,2.442857142857143,23.0,638,1093,7891,60,27,,288,1160,15,,9,135,4,
Anthony Gould,N/A,Career Totals,,2.28,0.0,0,0,0,0,0,,11,83,1,,84,1360,6,
Audric Estime,N/A,Career Totals,,3.223333333333333,0.0,0,0,0,0,0,,373,2321,29,,26,277,1,
Ben Sinnott,N/A,Career Totals,,5.156666666666666,0.0,0,0,0,0,0,,3,12,1,,82,1138,10,
Blake Corum,N/A,Career Totals,,4.455,0.0,0,0,0,0,0,,674,3737,58,,56,411,3,
Bo Nix,N/A,Career Totals,,5.9879999999999995,0.0,1286,1936,15351,113,26,,405,1613,38,,2,36,1,
Braden Smith,N/A,Career Totals,,1.7925,36.0,6,13,190,2,1,,3,3,0,,102,1210,6,
Braelon Allen,N/A,Career Totals,,3.893333333333333,0.0,2,3,33,1,0,,597,3494,35,,49,275,0,
