Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
ATL,17,257,415,2699,37,2.6,142,14,41,92,18.8%,37,6.9
BUF,16,361,574,4129,33,2.5,150,41,40,114,17.2%,57,9.4
CAR,17,267,457,2996,36,2.5,140,29,24,89,17.4%,19,8.2
CHI,17,223,377,2219,58,2.6,112,36,35,129,25.4%,73,9.2
CIN,16,418,610,4240,44,2.2,113,22,48,114,16.7%,27,7.5
CLE,17,335,540,3444,44,2.6,137,44,52,140,22.5%,37,8.1
IND,17,398,604,3432,60,2.3,181,45,61,166,24.2%,22,7.2
ARI,17,433,664,3626,46,2.2,154,51,45,142,18.8%,45,6.8
DAL,17,355,556,3736,27,2.4,149,43,54,124,20.7%,17,4.9
DEN,17,345,571,3592,63,2.5,160,44,74,181,27.3%,29,7.7
DET,17,383,588,4281,24,2.4,187,43,53,120,19.2%,14,4.6
GNB,17,364,563,3632,32,2.4,137,37,39,108,17.8%,13,7.8
HOU,17,352,579,3344,38,2.3,154,38,68,144,22.6%,21,6.0
JAX,17,394,596,3959,28,2.2,159,45,41,114,17.6%,24,9.1
KAN,17,435,651,5062,26,2.6,161,58,56,140,19.4%,46,7.5
MIA,17,368,584,4511,35,2.4,108,61,63,159,25.0%,18,6.8
MIN,17,448,672,4484,47,2.5,165,36,88,171,23.3%,15,8.2
NOR,17,338,512,3692,38,2.4,148,25,34,97,17.2%,14,4.6
NWE,17,358,540,3536,41,2.2,134,39,30,110,18.3%,21,5.7
NYG,17,346,520,3157,49,2.4,146,51,61,161,25.6%,59,7.7
NYJ,17,357,627,3723,42,2.4,186,57,61,160,23.3%,19,7.3
TEN,17,285,456,2914,49,2.5,150,44,53,146,27.5%,25,6.8
PHI,17,350,536,4105,44,2.4,187,43,24,111,17.7%,46,7.5
PIT,17,364,571,3411,38,2.4,139,43,43,124,19.4%,31,6.9
LVR,17,359,586,3934,35,2.6,137,39,57,131,20.3%,25,7.0
LAR,17,347,531,3108,59,2.5,151,47,56,162,26.5%,21,5.2
BAL,17,300,488,3040,38,2.4,173,42,22,102,18.1%,39,7.4
LAC,17,485,711,4584,39,2.5,186,50,73,162,21.0%,23,6.4
SEA,17,399,573,3934,46,2.4,170,37,64,147,22.5%,34,9.1
SFO,17,338,512,3856,31,2.3,147,18,41,90,16.2%,13,4.1
TAM,17,499,751,4586,22,2.2,134,23,57,102,13.1%,3,1.0
WAS,17,344,554,3472,48,2.4,148,38,69,155,24.6%,29,6.9
