Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
ATL,17,364,559,4068,32,2.4,139,29,56,117,19.6%,7,4.3
BUF,17,329,520,3875,14,2.3,146,40,39,93,16.1%,42,8.9
CAR,17,341,547,3188,36,2.2,193,64,49,149,23.8%,43,6.8
CHI,17,353,566,3086,68,2.4,174,52,40,160,23.4%,51,7.9
CIN,17,460,652,4640,48,2.2,164,38,69,155,21.5%,22,9.3
CLE,17,395,661,3506,66,2.4,159,47,80,193,25.3%,36,6.1
IND,17,289,513,3361,32,2.3,128,48,48,128,22.5%,24,8.8
ARI,17,374,543,3639,30,2.4,157,47,23,100,16.3%,42,8.7
DAL,17,398,637,3862,38,2.3,146,64,48,150,21.8%,12,6.0
DEN,17,379,570,3610,24,2.5,150,44,34,102,15.8%,50,7.2
DET,17,399,551,4474,33,2.3,146,36,57,126,21.0%,15,4.7
GNB,17,308,479,3807,22,2.4,158,39,51,112,21.5%,19,8.6
HOU,17,357,570,3526,54,2.4,172,68,58,180,27.2%,38,6.9
JAX,17,343,546,3477,32,2.4,133,22,35,89,14.7%,27,7.0
KAN,17,404,600,3780,41,2.3,143,47,75,163,24.0%,38,8.8
MIA,17,413,591,3737,43,2.1,90,38,37,118,17.9%,24,7.3
MIN,17,364,548,4043,49,2.6,137,52,53,154,24.6%,28,7.9
NOR,17,340,551,3488,37,2.4,157,62,47,146,23.7%,27,7.3
NWE,17,342,529,2995,52,2.4,158,43,56,151,23.7%,56,8.7
NYG,17,366,591,3228,48,2.4,138,50,76,174,26.1%,28,8.6
NYJ,17,385,607,3714,40,2.3,146,38,54,132,19.8%,18,6.4
TEN,17,336,530,3317,52,2.5,107,30,57,139,22.7%,30,7.4
PHI,17,303,448,3194,45,2.6,166,31,34,110,20.6%,42,9.0
PIT,17,321,499,3264,49,2.4,140,38,61,148,25.3%,38,6.7
LVR,17,410,635,3797,50,2.3,181,58,55,163,23.1%,20,6.1
LAR,17,367,559,3868,31,2.3,157,31,68,130,21.9%,4,10.8
BAL,17,318,477,4035,24,2.5,163,54,32,110,20.1%,45,9.0
LAC,17,336,510,3629,44,2.5,158,20,62,126,21.5%,33,10.0
SEA,17,413,593,4020,54,2.4,139,38,59,151,22.5%,25,10.3
SFO,17,349,533,4234,36,2.4,160,42,42,120,19.4%,49,6.7
TAM,17,408,571,4257,40,2.2,175,49,20,109,16.6%,44,8.7
WAS,17,365,525,3665,50,2.4,171,41,30,121,18.6%,77,8.0
