Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
Atlanta Falcons,17,377,573,3713,40,2.4,169,51,85,176,28.0%,16,4.9
Buffalo Bills,17,415,655,4284,27,2.4,183,96,64,187,25.5%,50,9.8
Carolina Panthers,17,348,599,3239,52,2.4,202,82,59,193,28.3%,32,8.2
Chicago Bears,17,332,542,3207,58,2.4,194,56,45,159,24.1%,59,7.8
Cincinnati Bengals,17,384,555,4403,55,2.4,132,48,50,153,24.2%,21,5.4
Cleveland Browns,17,320,520,3320,49,2.4,148,63,30,142,23.7%,29,5.2
Indianapolis Colts,17,324,521,3361,32,2.5,156,41,76,149,25.7%,26,7.1
Arizona Cardinals,17,415,591,4276,39,2.3,137,79,23,141,21.2%,35,7.3
Dallas Cowboys,17,444,647,4800,33,2.4,202,46,51,130,18.5%,21,6.2
Denver Broncos,17,354,541,3593,40,2.5,148,79,51,170,28.2%,22,6.7
Detroit Lions,17,396,593,3598,36,2.4,127,55,58,149,23.2%,13,6.7
Green Bay Packers,17,402,593,4315,33,2.3,164,68,47,148,22.8%,22,6.5
Houston Texans,17,354,546,3305,44,2.3,182,49,46,139,22.6%,25,7.6
Jacksonville Jaguars,17,361,604,3436,32,2.4,148,68,52,152,22.7%,33,7.3
Kansas City Chiefs,17,448,675,4791,28,2.4,116,77,60,165,22.0%,47,8.6
Miami Dolphins,17,404,615,3651,40,2.3,164,71,48,159,23.1%,32,6.0
Minnesota Vikings,17,398,604,4238,30,2.4,178,73,70,173,26.6%,17,7.9
New Orleans Saints,17,293,504,3186,37,2.5,171,61,47,145,25.0%,38,8.0
New England Patriots,17,364,535,3857,28,2.4,185,29,48,105,18.2%,15,7.1
New York Giants,17,351,593,3196,38,2.4,184,54,62,154,23.1%,35,7.1
New York Jets,17,357,603,3541,53,2.5,184,82,51,186,27.5%,21,9.5
Tennessee Titans,17,359,535,3418,47,2.3,167,31,64,142,23.6%,19,10.5
Philadelphia Eagles,17,307,494,3404,31,2.6,143,83,37,151,26.1%,54,8.1
Pittsburgh Steelers,17,425,664,3778,38,2.1,161,44,39,121,17.1%,6,12.0
Las Vegas Raiders,17,429,628,4567,40,2.5,167,58,48,146,21.3%,18,6.0
Los Angeles Rams,17,406,607,4642,31,2.5,139,33,43,107,16.6%,8,6.1
Baltimore Ravens,17,396,611,3961,57,2.4,219,64,43,164,22.0%,76,8.0
Los Angeles Chargers,17,443,674,4800,31,2.4,156,51,61,143,19.3%,36,7.8
Seattle Seahawks,17,324,495,3432,46,2.4,151,60,48,154,27.1%,27,7.6
San Francisco 49ers,17,343,514,4221,33,2.4,122,32,44,109,19.3%,17,6.8
Tampa Bay Buccaneers,17,492,731,5229,23,2.3,179,31,31,85,11.1%,10,7.6
Washington Football Team,17,356,550,3441,43,2.5,159,60,55,158,25.0%,39,6.9
