Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Mac Jones*,Alabama,SEC,13,311,402,77.4,4500,41,10.2,4,1.0,11.2,12.79,14.5,346.2,203.1,H-3AA,mac-jones-1
2,Kyle Trask*,Florida,SEC,12,301,437,68.9,4283,43,9.8,8,1.8,9.8,10.95,14.2,356.9,180.0,H-4,kyle-trask-1
3,Zach Wilson*,BYU,Ind,12,247,336,73.5,3692,33,9.8,3,0.9,11.0,12.55,14.9,307.7,196.4,H-8,zach-wilson-3
4,Sam Howell*,North Carolina,ACC,12,237,348,68.1,3586,30,8.6,7,2.0,10.3,11.12,15.1,298.8,179.1,,sam-howell-1
5,Dillon Gabriel*,UCF,American,10,248,413,60.0,3570,32,7.7,4,1.0,8.6,9.76,14.4,357.0,156.3,,dillon-gabriel-1
6,Brady White*,Memphis,American,11,254,420,60.5,3380,31,7.4,10,2.4,8.0,8.45,13.3,307.3,147.7,,brady-white-1
7,Matt Corral*,Ole Miss,SEC,10,231,326,70.9,3337,29,8.9,14,4.3,10.2,10.08,14.4,333.7,177.6,,matt-corral-1
8,Trevor Lawrence*,Clemson,ACC,10,231,334,69.2,3153,24,7.2,5,1.5,9.4,10.20,13.6,315.3,169.2,H-2,trevor-lawrence-1
9,Shane Buechele,SMU,American,10,242,370,65.4,3095,23,6.2,6,1.6,8.4,8.88,12.8,309.5,152.9,,shane-buechele-1
10,Spencer Rattler*,Oklahoma,Big 12,11,214,317,67.5,3031,28,8.8,7,2.2,9.6,10.33,14.2,275.5,172.6,,spencer-rattler-1
11,Carson Strong*,Nevada,MWC,9,249,355,70.1,2858,27,7.6,4,1.1,8.1,9.06,11.5,317.6,160.6,,carson-strong-1
12,Ian Book*,Notre Dame,ACC,12,228,353,64.6,2830,15,4.2,3,0.8,8.0,8.48,12.4,235.8,144.3,H-9,ian-book-1
13,Brock Purdy*,Iowa State,Big 12,12,243,365,66.6,2750,19,5.2,9,2.5,7.5,7.47,11.3,229.2,142.1,,brock-purdy-1
14,D'Eriq King*,Miami (FL),ACC,11,211,329,64.1,2686,23,7.0,5,1.5,8.2,8.88,12.7,244.2,152.7,,deriq-king-1
15,Malik Cunningham,Louisville,ACC,11,195,304,64.1,2617,20,6.6,12,3.9,8.6,8.15,13.4,237.9,150.3,,malik-cunningham-1
16,Jarret Doege*,West Virginia,Big 12,10,239,374,63.9,2587,14,3.7,4,1.1,6.9,7.18,10.8,258.7,132.2,,jarret-doege-1
17,Sam Ehlinger*,Texas,Big 12,10,194,322,60.2,2566,26,8.1,5,1.6,8.0,8.89,13.2,256.6,150.7,,sam-ehlinger-1
18,Phil Jurkovec,Boston College,ACC,10,205,336,61.0,2558,17,5.1,5,1.5,7.6,7.96,12.5,255.8,138.7,,phil-jurkovec-1
19,Grayson McCall*,Coastal Carolina,Sun Belt,11,172,250,68.8,2488,26,10.4,3,1.2,10.0,11.49,14.5,226.2,184.3,,grayson-mccall-1
20,Bo Nix*,Auburn,SEC,11,214,357,59.9,2415,12,3.4,7,2.0,6.8,6.55,11.3,219.5,123.9,,bo-nix-1
21,Kenny Pickett,Pitt,ACC,9,203,332,61.1,2408,13,3.9,9,2.7,7.3,6.82,11.9,267.6,129.6,,kenny-pickett-1
22,Connor Bazelak,Missouri,SEC,10,218,324,67.3,2366,7,2.2,6,1.9,7.3,6.90,10.9,236.6,132.1,,connor-bazelak-1
23,Desmond Ridder*,Cincinnati,American,10,186,281,66.2,2296,19,6.8,6,2.1,8.2,8.56,12.3,229.6,152.9,,desmond-ridder-1
24,Kellen Mond*,Texas A&M,SEC,10,188,297,63.3,2282,19,6.4,3,1.0,7.7,8.51,12.1,228.2,146.9,,kellen-mond-1
25,Cornelious Brown*,Georgia State,Sun Belt,10,178,304,58.6,2278,17,5.6,10,3.3,7.5,7.13,12.8,227.8,133.4,,cornelious-brown-1
26,Levi Lewis*,Louisiana,Sun Belt,11,177,297,59.6,2274,19,6.4,7,2.4,7.7,7.88,12.8,206.7,140.3,,levi-lewis-1
27,Malik Willis*,Liberty,Ind,10,170,265,64.2,2260,20,7.5,6,2.3,8.5,9.02,13.3,226.0,156.2,,malik-willis-1
28,Sam Hartman*,Wake Forest,ACC,9,159,273,58.2,2224,13,4.8,5,1.8,8.1,8.27,14.0,247.1,138.7,,sam-hartman-1
29,Zac Thomas*,Appalachian State,Sun Belt,12,186,291,63.9,2189,20,6.9,11,3.8,7.5,7.20,11.8,182.4,142.2,,zac-thomas-2
30,Nick Starkel*,San Jose State,MWC,8,163,254,64.2,2174,17,6.7,7,2.8,8.6,8.66,13.3,271.8,152.6,,nick-starkel-1
31,Chase Brice,Duke,ACC,11,193,352,54.8,2170,10,2.8,15,4.3,6.2,4.82,11.2,197.3,107.5,,chase-brice-1
32,Drew Plitt*,Ball State,MAC,8,164,250,65.6,2154,17,6.8,6,2.4,8.6,8.90,13.1,269.3,155.6,,drew-plitt-1
33,Gunnar Watson,Troy,Sun Belt,9,211,301,70.1,2141,16,5.3,7,2.3,7.1,7.13,10.1,237.9,142.7,,gunnar-watson-1
34,Brennan Armstrong,Virginia,ACC,9,157,268,58.6,2117,18,6.7,11,4.1,7.9,7.40,13.5,235.2,138.9,,brennan-armstrong-1
35,Feleipe Franks,Arkansas,SEC,10,163,238,68.5,2107,17,7.1,4,1.7,8.9,9.53,12.9,210.7,163.1,,feleipe-franks-1
