Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Brandon Doughty*,Western Kentucky,CUSA,14,388,540,71.9,5055,48,8.9,9,1.7,9.4,10.39,13.0,361.1,176.5,,brandon-doughty-1
2,Matt Johnson*,Bowling Green,MAC,14,383,569,67.3,4946,46,8.1,8,1.4,8.7,9.68,12.9,353.3,164.2,,matt-johnson-3
3,Jared Goff*,California,Pac-12,13,341,529,64.5,4719,43,8.1,13,2.5,8.9,9.44,13.8,363.0,161.3,,jared-goff-1
4,Patrick Mahomes*,Texas Tech,Big 12,13,364,573,63.5,4653,36,6.3,15,2.6,8.1,8.20,12.8,357.9,147.2,,patrick-mahomes-1
5,Luke Falk*,Washington State,Pac-12,12,448,645,69.5,4566,38,5.9,8,1.2,7.1,7.70,10.2,380.5,145.9,,luke-falk-1
6,Nick Mullens*,Southern Mississippi,CUSA,14,331,521,63.5,4476,38,7.3,12,2.3,8.6,9.01,13.5,319.7,155.2,,nick-mullens-1
7,Nick Arbuckle*,Georgia State,Sun Belt,13,307,486,63.2,4368,28,5.8,12,2.5,9.0,9.03,14.2,336.0,152.7,,nick-arbuckle-1
8,Dane Evans*,Tulsa,American,13,305,485,62.9,4332,25,5.2,8,1.6,8.9,9.22,14.2,333.2,151.6,,dane-evans-1
9,Deshaun Watson*,Clemson,ACC,15,333,491,67.8,4104,35,7.1,13,2.6,8.4,8.59,12.3,273.6,156.3,H-3AA,deshaun-watson-1
10,Chad Kelly*,Ole Miss,SEC,13,298,458,65.1,4042,31,6.8,13,2.8,8.8,8.90,13.6,310.9,155.9,,chad-kelly-1
11,Jeff Driskel*,Louisiana Tech,CUSA,13,281,450,62.4,4033,27,6.0,8,1.8,9.0,9.36,14.4,310.2,154.0,,jeff-driskel-1
12,Brent Stockstill*,Middle Tennessee State,CUSA,13,327,490,66.7,4005,30,6.1,9,1.8,8.2,8.57,12.2,308.1,151.9,,brent-stockstill-1
13,Mike Bercovici*,Arizona State,Pac-12,13,319,532,60.0,3861,30,5.6,9,1.7,7.3,7.62,12.1,297.0,136.2,,mike-bercovici-1
14,Cooper Rush*,Central Michigan,MAC,13,324,489,66.3,3848,25,5.1,11,2.2,7.9,7.88,11.9,296.0,144.7,,cooper-rush-1
15,Dak Prescott*,Mississippi State,SEC,13,316,477,66.2,3793,29,6.1,5,1.0,8.0,8.70,12.0,291.8,151.0,,dak-prescott-1
16,Paxton Lynch*,Memphis,American,13,296,443,66.8,3776,28,6.3,4,0.9,8.5,9.38,12.8,290.5,157.5,,paxton-lynch-1
17,Mason Rudolph*,Oklahoma State,Big 12,13,264,424,62.3,3770,21,5.0,9,2.1,8.9,8.93,14.3,290.0,149.1,,mason-rudolph-1
18,Baker Mayfield*,Oklahoma,Big 12,13,269,395,68.1,3700,36,9.1,7,1.8,9.4,10.39,13.8,284.6,173.3,H-4,baker-mayfield-1
19,Josh Rosen*,UCLA,Pac-12,13,292,487,60.0,3670,23,4.7,11,2.3,7.5,7.46,12.6,282.3,134.3,,josh-rosen-1
20,Trevone Boykin*,Texas Christian,Big 12,11,257,396,64.9,3575,31,7.8,10,2.5,9.0,9.46,13.9,325.0,161.5,H-10,trevone-boykin-1
21,Nate Sudfeld*,Indiana,Big Ten,12,247,412,60.0,3573,27,6.6,7,1.7,8.7,9.22,14.5,297.8,151.0,,nate-sudfeld-1
22,Cody Kessler*,USC,Pac-12,14,298,446,66.8,3536,29,6.5,7,1.6,7.9,8.52,11.9,252.6,151.7,,cody-kessler-1
23,Zach Terrell*,Western Michigan,MAC,13,262,391,67.0,3510,29,7.4,9,2.3,9.0,9.42,13.4,270.0,162.3,,zach-terrell-1
24,Brandon Allen*,Arkansas,SEC,13,244,370,65.9,3440,30,8.1,8,2.2,9.3,9.95,14.1,264.6,166.5,,brandon-allen-2
25,Tanner Mangum*,BYU,Ind,13,267,446,59.9,3377,23,5.2,10,2.2,7.6,7.59,12.6,259.8,136.0,,tanner-mangum-1
26,Brett Rypien*,Boise State,MWC,11,273,430,63.5,3353,20,4.7,8,1.9,7.8,7.89,12.3,304.8,140.6,,brett-rypien-1
27,Brad Kaaya*,Miami (FL),ACC,12,239,390,61.3,3242,16,4.1,5,1.3,8.3,8.56,13.6,270.2,142.1,,brad-kaaya-1
28,Skyler Howard*,West Virginia,Big 12,13,221,403,54.8,3145,26,6.5,14,3.5,7.8,7.53,14.2,241.9,134.7,,skyler-howard-1
29,Connor Cook*,Michigan State,Big Ten,13,229,408,56.1,3131,24,5.9,7,1.7,7.7,8.08,13.7,240.8,136.6,H-9,connor-cook-1
30,Jake Coker*,Alabama,SEC,15,263,393,66.9,3110,21,5.3,8,2.0,7.9,8.07,11.8,207.3,147.0,,jake-coker-1
31,Marquise Williams*,North Carolina,ACC,14,219,357,61.3,3072,24,6.7,10,2.8,8.6,8.69,14.0,219.4,150.2,,marquise-williams-1
32,Tommy Armstrong Jr.*,Nebraska,Big Ten,12,222,402,55.2,3030,22,5.5,16,4.0,7.5,6.84,13.6,252.5,128.6,,tommy-armstrong-jr-1
33,Jake Rudock*,Michigan,Big Ten,13,249,389,64.0,3017,20,5.1,9,2.3,7.8,7.74,12.1,232.1,141.5,,jake-rudock-1
34,Matt Linehan,Idaho,Sun Belt,11,248,391,63.4,2992,16,4.1,11,2.8,7.7,7.20,12.1,272.0,135.6,,matt-linehan-1
35,P.J. Walker*,Temple,American,14,246,433,56.8,2973,19,4.4,8,1.8,6.9,6.91,12.1,212.4,125.3,,pj-walker-1
36,Joe Licata,Buffalo,MAC,12,280,449,62.4,2969,16,3.6,15,3.3,6.6,5.82,10.6,247.4,123.0,,joe-licata-1
37,Phillip Ely*,Toledo,MAC,12,226,403,56.1,2965,23,5.7,10,2.5,7.4,7.38,13.1,247.1,131.8,,phillip-ely-1
38,Jake Browning*,Washington,Pac-12,12,233,368,63.3,2955,16,4.3,10,2.7,8.0,7.68,12.7,246.3,139.7,,jake-browning-1
39,Blake Frohnapfel,Massachusetts,MAC,12,266,472,56.4,2919,16,3.4,13,2.8,6.2,5.62,11.0,243.3,114.0,,blake-frohnapfel-1
40,DeShone Kizer*,Notre Dame,Ind,13,211,335,63.0,2884,21,6.3,10,3.0,8.6,8.52,13.7,221.8,150.0,,deshone-kizer-1
41,Kevin Hogan*,Stanford,Pac-12,14,206,304,67.8,2867,27,8.9,8,2.6,9.4,10.02,13.9,204.8,171.0,,kevin-hogan-2
42,Greg Ward Jr.*,Houston,American,14,232,345,67.2,2828,17,4.9,6,1.7,8.2,8.40,12.2,202.0,148.9,,greg-ward-jr-1
43,Matt Johns,Virginia,ACC,12,247,403,61.3,2810,20,5.0,17,4.2,7.0,6.07,11.4,234.2,127.8,,matt-johns-1
44,C.J. Beathard*,Iowa,Big Ten,14,223,362,61.6,2809,17,4.7,5,1.4,7.8,8.08,12.6,200.6,139.5,,cj-beathard-1
45,Gunner Kiel*,Cincinnati,American,10,206,316,65.2,2777,19,6.0,11,3.5,8.8,8.42,13.5,277.7,151.9,,gunner-kiel-1
46,Wes Lunt,Illinois,Big Ten,12,270,481,56.1,2761,14,2.9,6,1.2,5.7,5.76,10.2,230.1,111.5,,wes-lunt-1
47,Alex McGough,Florida International,CUSA,12,269,420,64.0,2722,21,5.0,8,1.9,6.5,6.62,10.1,226.8,131.2,,alex-mcgough-1
48,Mitch Leidner*,Minnesota,Big Ten,13,242,407,59.5,2701,14,3.4,11,2.7,6.6,6.11,11.2,207.8,121.2,,mitch-leidner-1
49,Joel Stave*,Wisconsin,Big Ten,13,225,370,60.8,2687,11,3.0,11,3.0,7.3,6.52,11.9,206.7,125.7,,joel-stave-1
50,Nick Stevens*,Colorado State,MWC,13,211,347,60.8,2679,21,6.1,12,3.5,7.7,7.37,12.7,206.1,138.7,,nick-stevens-1
51,Anu Solomon*,Arizona,Pac-12,11,205,330,62.1,2667,20,6.1,5,1.5,8.1,8.61,13.0,242.5,147.0,,anu-solomon-1
52,Jacoby Brissett*,North Carolina State,ACC,13,237,395,60.0,2662,20,5.1,6,1.5,6.7,7.07,11.2,204.8,130.3,,jacoby-brissett-2
53,Blake Kemp,East Carolina,American,11,260,375,69.3,2658,16,4.3,10,2.7,7.1,6.74,10.2,241.6,137.6,,blake-kemp-1
54,Vernon Adams*,Oregon,Pac-12,10,168,259,64.9,2643,26,10.0,6,2.3,10.2,11.17,15.7,264.3,179.1,,vernon-adams-1
55,Thomas Sirk*,Duke,ACC,12,251,427,58.8,2625,16,3.7,8,1.9,6.1,6.05,10.5,218.8,119.0,,thomas-sirk-1
56,Chase Litton*,Marshall,CUSA,11,230,383,60.1,2605,23,6.0,8,2.1,6.8,7.06,11.3,236.8,132.8,,chase-litton-1
57,Christian Hackenberg*,Penn State,Big Ten,13,192,359,53.5,2525,16,4.5,6,1.7,7.0,7.17,13.2,194.2,123.9,,christian-hackenberg-1
58,Tyler Jones,Texas State,Sun Belt,12,223,382,58.4,2517,14,3.7,10,2.6,6.6,6.14,11.3,209.8,120.6,,tyler-jones-4
59,Sefo Liufau,Colorado,Pac-12,11,214,344,62.2,2418,9,2.6,6,1.7,7.0,6.77,11.3,219.8,126.4,,sefo-liufau-1
60,Taylor Lamb*,Appalachian State,Sun Belt,13,170,283,60.1,2387,31,11.0,9,3.2,8.4,9.19,14.0,183.6,160.7,,taylor-lamb-1
61,Brandon Silvers,Troy,Sun Belt,11,202,330,61.2,2378,20,6.1,7,2.1,7.2,7.46,11.8,216.2,137.5,,brandon-silvers-2
62,Driphus Jackson,Rice,CUSA,12,185,316,58.5,2348,18,5.7,7,2.2,7.4,7.57,12.7,195.7,135.3,,driphus-jackson-1
63,Brogan Roback,Eastern Michigan,MAC,12,211,346,61.0,2304,16,4.6,11,3.2,6.7,6.15,10.9,192.0,125.8,,brogan-roback-1
64,Quinton Flowers*,South Florida,American,13,163,276,59.1,2296,22,8.0,8,2.9,8.3,8.61,14.1,176.6,149.4,,quinton-flowers-1
65,Joshua Dobbs*,Tennessee,SEC,13,205,344,59.6,2291,15,4.4,5,1.5,6.7,6.88,11.2,176.2,127.0,,joshua-dobbs-1
66,Nathan Peterman*,Pitt,ACC,13,193,314,61.5,2287,20,6.4,8,2.5,7.3,7.41,11.8,175.9,138.6,,nathan-peterman-1
67,Riley Neal,Ball State,MAC,11,228,391,58.3,2276,16,4.1,6,1.5,5.8,5.95,10.0,206.9,117.6,,riley-neal-1
68,Cody Clements,South Alabama,Sun Belt,12,171,324,52.8,2272,13,4.0,15,4.6,7.0,5.73,13.3,189.3,115.7,,cody-clements-1
69,Matt Davis,SMU,American,12,183,336,54.5,2263,16,4.8,7,2.1,6.7,6.75,12.4,188.6,122.6,,matt-davis-4
70,Chris Laviano,Rutgers,Big Ten,12,187,307,60.9,2247,16,5.2,12,3.9,7.3,6.60,12.0,187.3,131.8,,chris-laviano-1
71,Kyle Allen*,Texas A&M,SEC,11,160,283,56.5,2210,17,6.0,7,2.5,7.8,7.90,13.8,200.9,137.0,,kyle-allen-1
72,Tommy Woodson*,Akron,MAC,13,162,307,52.8,2202,16,5.2,11,3.6,7.2,6.60,13.6,169.4,123.1,,tommy-woodson-1
73,Brandon Harris*,LSU,SEC,12,149,277,53.8,2165,13,4.7,6,2.2,7.8,7.78,14.5,180.4,130.6,,brandon-harris-4
74,Patrick Towles,Kentucky,SEC,11,183,326,56.1,2148,9,2.8,14,4.3,6.6,5.21,11.7,195.3,112.0,,patrick-towles-1
75,Tyler Stewart*,Nevada,MWC,13,186,326,57.1,2139,15,4.6,7,2.1,6.6,6.52,11.5,164.5,123.1,,tyler-stewart-1
76,Seth Russell*,Baylor,Big 12,7,119,200,59.5,2104,29,14.5,6,3.0,10.5,12.07,17.7,300.6,189.7,,seth-russell-1
77,Travis Wilson*,Utah,Pac-12,12,195,314,62.1,2095,13,4.1,10,3.2,6.7,6.07,10.7,174.6,125.4,,travis-wilson-4
78,Bryant Shirreffs*,Connecticut,American,12,168,279,60.2,2078,9,3.2,8,2.9,7.4,6.80,12.4,173.2,127.7,,bryant-shirreffs-1
79,Garrett Smith,Louisiana-Monroe,Sun Belt,10,191,333,57.4,2033,17,5.1,11,3.3,6.1,5.64,10.6,203.3,118.9,,garrett-smith-2
80,Kenny Potter*,San Jose State,MWC,11,182,270,67.4,1984,15,5.6,7,2.6,7.3,7.29,10.9,180.4,142.3,,kenny-potter-1
81,Drew Hare*,Northern Illinois,MAC,9,164,257,63.8,1962,14,5.4,4,1.6,7.6,8.02,12.0,218.0,142.8,,drew-hare-1
82,Greyson Lambert*,Georgia,SEC,12,162,256,63.3,1959,12,4.7,2,0.8,7.7,8.24,12.1,163.3,141.5,,greyson-lambert-1
83,Cameron Coffman,Wyoming,MWC,9,152,241,63.1,1951,18,7.5,10,4.1,8.1,7.72,12.8,216.8,147.4,,cameron-coffman-1
84,Perry Orth,South Carolina,SEC,12,143,261,54.8,1929,12,4.6,9,3.4,7.4,6.76,13.5,160.8,125.1,,perry-orth-1
85,Hayden Moore*,Cincinnati,American,9,133,225,59.1,1885,9,4.0,11,4.9,8.4,6.98,14.2,209.4,132.9,,hayden-moore-1
86,Lamar Jackson*,Louisville,ACC,12,135,247,54.7,1840,12,4.9,8,3.2,7.4,6.96,13.6,153.3,126.8,,lamar-jackson-1
87,Joe Hubener*,Kansas State,Big 12,13,131,275,47.6,1837,9,3.3,10,3.6,6.7,5.70,14.0,141.3,107.3,,joe-hubener-1
88,Fredi Knighten*,Arkansas State,Sun Belt,10,136,251,54.2,1835,19,7.6,9,3.6,7.3,7.21,13.5,183.5,133.4,,fredi-knighten-1
89,Derrius Vick*,Ohio,MAC,10,158,247,64.0,1809,10,4.0,6,2.4,7.3,7.04,11.4,180.9,134.0,,derrius-vick-1
90,John Wolford,Wake Forest,ACC,11,142,233,60.9,1791,9,3.9,11,4.7,7.7,6.33,12.6,162.8,128.8,,john-wolford-1
91,Everett Golson*,Florida State,ACC,9,147,219,67.1,1778,11,5.0,3,1.4,8.1,8.51,12.1,197.6,149.2,,everett-golson-1
92,Ryan Willis,Kansas,Big 12,10,164,315,52.1,1719,9,2.9,10,3.2,5.5,4.60,10.5,171.9,101.0,,ryan-willis-2
93,Blake Decker,Nevada-Las Vegas,MWC,9,120,209,57.4,1713,12,5.7,8,3.8,8.2,7.62,14.3,190.3,137.6,,blake-decker-1
94,Michael Brewer*,Virginia Tech,ACC,8,126,216,58.3,1703,13,6.0,7,3.2,7.9,7.63,13.5,212.9,137.9,,michael-brewer-2
95,Treon Harris*,Florida,SEC,12,119,235,50.6,1676,9,3.8,6,2.6,7.1,6.75,14.1,139.7,118.1,,treon-harris-1
96,Tanner Lee,Tulane,American,9,143,276,51.8,1639,11,4.0,7,2.5,5.9,5.59,11.5,182.1,109.8,,tanner-lee-1
97,Karson Roberts*,Air Force,MWC,14,77,148,52.0,1595,11,7.4,11,7.4,10.8,8.92,20.7,113.9,152.2,,karson-roberts-1
98,Kent Myers*,Utah State,MWC,9,121,199,60.8,1593,16,8.0,3,1.5,8.0,8.93,13.2,177.0,151.6,,kent-myers-1
99,Jaquez Johnson,Florida Atlantic,CUSA,10,129,241,53.5,1592,9,3.7,7,2.9,6.6,6.05,12.3,159.2,115.5,,jaquez-johnson-1
100,David Blough,Purdue,Big Ten,10,169,293,57.7,1574,10,3.4,8,2.7,5.4,4.83,9.3,157.4,108.6,,david-blough-1
101,Max Wittek,Hawaii,MWC,9,128,271,47.2,1542,7,2.6,15,5.5,5.7,3.72,12.0,171.3,92.5,,max-wittek-1
102,Johnny McCrary,Vanderbilt,SEC,10,146,267,54.7,1533,6,2.2,12,4.5,5.7,4.17,10.5,153.3,101.3,,johnny-mccrary-1
103,Andrew Allen,New Mexico State,Sun Belt,8,115,214,53.7,1529,16,7.5,8,3.7,7.1,6.96,13.3,191.1,131.0,,andrew-allen-1
104,Maxwell Smith*,San Diego State,MWC,12,110,200,55.0,1529,13,6.5,2,1.0,7.6,8.50,13.9,127.4,138.7,,maxwell-smith-1
105,Clayton Thorson*,Northwestern,Big Ten,13,150,295,50.8,1522,7,2.4,9,3.1,5.2,4.26,10.1,117.1,95.9,,clayton-thorson-1
106,Sean Maguire*,Florida State,ACC,8,112,189,59.3,1520,11,5.8,6,3.2,8.0,7.78,13.6,190.0,139.7,,sean-maguire-1
107,Cardale Jones*,Ohio State,Big Ten,10,110,176,62.5,1460,8,4.5,5,2.8,8.3,7.93,13.3,146.0,141.5,,cardale-jones-1
108,Sam B. Richardson,Iowa State,Big 12,8,128,214,59.8,1443,8,3.7,8,3.7,6.7,5.81,11.3,180.4,121.3,,sam-b-richardson-1
109,Shuler Bentley,Old Dominion,CUSA,10,140,269,52.0,1432,12,4.5,6,2.2,5.3,5.21,10.2,143.2,107.0,,shuler-bentley-1
110,Billy Bahl,Miami (OH),MAC,11,99,221,44.8,1416,8,3.6,13,5.9,6.4,4.48,14.3,128.7,98.8,,billy-bahl-1
111,Brooks Haack,Louisiana,Sun Belt,10,123,201,61.2,1407,5,2.5,7,3.5,7.0,5.93,11.4,140.7,121.2,,brooks-haack-1
112,Justin Holman,UCF,American,9,127,250,50.8,1379,7,2.8,14,5.6,5.5,3.56,10.9,153.2,95.2,,justin-holman-1
113,Dalton Sturm,UTSA,CUSA,10,125,212,59.0,1354,13,6.1,7,3.3,6.4,6.13,10.8,135.4,126.2,,dalton-sturm-1
114,Justin Thomas,Georgia Tech,ACC,12,75,180,41.7,1345,13,7.2,8,4.4,7.5,6.92,17.9,112.1,119.4,,justin-thomas-3
115,Drew Lock,Missouri,SEC,12,129,263,49.0,1332,4,1.5,8,3.0,5.1,4.00,10.3,111.0,90.5,,drew-lock-1
116,Eric Dungey,Syracuse,ACC,8,105,176,59.7,1298,11,6.3,5,2.8,7.4,7.35,12.4,162.3,136.6,,eric-dungey-1
117,Jarrett Stidham*,Baylor,Big 12,10,75,109,68.8,1265,12,11.0,2,1.8,11.6,12.98,16.9,126.5,199.0,,jarrett-stidham-1
118,Austin Appleby,Purdue,Big Ten,5,119,207,57.5,1260,8,3.9,8,3.9,6.1,5.12,10.6,252.0,113.6,,austin-appleby-1
119,Joel Lanning,Iowa State,Big 12,11,107,193,55.4,1247,10,5.2,4,2.1,6.5,6.56,11.7,113.4,122.7,,joel-lanning-2
120,Mack Leftwich,UTEP,CUSA,7,105,192,54.7,1228,9,4.7,3,1.6,6.4,6.63,11.7,175.4,120.8,,mack-leftwich-1
121,Jerrod Heard,Texas,Big 12,12,92,159,57.9,1214,5,3.1,5,3.1,7.6,6.85,13.2,101.2,126.1,,jerrod-heard-1
122,Will Grier*,Florida,SEC,6,106,161,65.8,1204,10,6.2,3,1.9,7.5,7.88,11.4,200.7,145.4,,will-grier-1
123,Keenan Reynolds*,Navy,American,13,61,115,53.0,1203,8,7.0,1,0.9,10.5,11.46,19.7,92.5,162.1,H-5,keenan-reynolds-1
124,Sean White*,Auburn,SEC,7,83,143,58.0,1166,1,0.7,4,2.8,8.2,7.03,14.0,166.6,123.2,,sean-white-3
125,Brenden Motley*,Virginia Tech,ACC,10,92,164,56.1,1155,11,6.7,7,4.3,7.0,6.46,12.6,115.5,128.9,,brenden-motley-1
126,David Washington,Old Dominion,CUSA,10,94,161,58.4,1155,8,5.0,3,1.9,7.2,7.33,12.3,115.5,131.3,,david-washington-4
127,Kyle Bolin*,Louisville,ACC,7,78,137,56.9,1154,7,5.1,6,4.4,8.4,7.47,14.8,164.9,135.8,,kyle-bolin-1
128,Jeremy Johnson*,Auburn,SEC,12,95,157,60.5,1054,10,6.4,7,4.5,6.7,5.98,11.1,87.8,129.0,,jeremy-johnson-5
129,Lamar Jordan*,New Mexico,MWC,12,61,118,51.7,1045,5,4.2,8,6.8,8.9,6.65,17.1,87.1,126.5,,lamar-jordan-1
130,Damarcus Smith,North Texas,CUSA,10,99,212,46.7,1010,8,3.8,5,2.4,4.8,4.46,10.2,101.0,94.5,,damarcus-smith-1
131,Chuckie Keeton*,Utah State,MWC,7,104,199,52.3,1006,4,2.0,7,3.5,5.1,3.87,9.7,143.7,94.3,,chuckie-keeton-1
132,Perry Hills,Maryland,Big Ten,9,90,180,50.0,1001,8,4.4,13,7.2,5.6,3.20,11.1,111.2,96.9,,perry-hills-1
133,J.T. Barrett*,Ohio State,Big Ten,11,93,147,63.3,992,11,7.5,4,2.7,6.7,7.02,10.7,90.2,139.2,,jt-barrett-1
134,Tyler Rogers,New Mexico State,Sun Belt,4,72,135,53.3,974,7,5.2,3,2.2,7.2,7.25,13.5,243.5,126.6,,tyler-rogers-1
135,Jason Driskel,Florida Atlantic,CUSA,10,77,151,51.0,965,3,2.0,4,2.6,6.4,5.60,12.5,96.5,105.9,,jason-driskel-1
136,Seth Collins,Oregon State,Pac-12,8,83,160,51.9,935,6,3.8,4,2.5,5.8,5.47,11.3,116.9,108.3,,seth-collins-1
137,Kendall Hinton,Wake Forest,ACC,9,93,179,52.0,929,4,2.2,5,2.8,5.2,4.38,10.0,103.2,97.3,,kendall-hinton-1
138,J.D. Sprague*,Ohio,MAC,7,63,114,55.3,912,7,6.1,3,2.6,8.0,8.04,14.5,130.3,137.5,,jd-sprague-1
139,Ikaika Woolsey,Hawaii,MWC,13,73,149,49.0,908,5,3.4,6,4.0,6.1,4.95,12.4,69.8,103.2,,ikaika-woolsey-1
140,Colin Reardon,Kent State,MAC,9,81,176,46.0,901,7,4.0,4,2.3,5.1,4.89,11.1,100.1,97.6,,colin-reardon-1
141,Ryan Metz,UTEP,CUSA,8,82,140,58.6,900,6,4.3,7,5.0,6.4,5.04,11.0,112.5,116.7,,ryan-metz-1
142,Blake Bogenschutz,UTSA,CUSA,5,81,137,59.1,897,4,2.9,4,2.9,6.5,5.82,11.1,179.4,117.9,,blake-bogenschutz-1
143,Caleb Rowe,Maryland,Big Ten,10,76,165,46.1,894,6,3.6,15,9.1,5.4,2.05,11.8,89.4,85.4,,caleb-rowe-1
144,Drew Kummer,Miami (OH),MAC,7,58,122,47.5,890,7,5.7,6,4.9,7.3,6.23,15.3,127.1,117.9,,drew-kummer-1
145,Lee McNeill,Charlotte,CUSA,12,100,189,52.9,878,1,0.5,10,5.3,4.6,2.37,8.8,73.2,83.1,,lee-mcneill-1
146,Zack Greenlee,Fresno State,MWC,7,74,156,47.4,866,13,8.3,6,3.8,5.6,5.49,11.7,123.7,113.9,,zack-greenlee-1
147,Joe Gray*,San Jose State,MWC,6,73,105,69.5,839,6,5.7,4,3.8,8.0,7.42,11.5,139.8,147.9,,joe-gray-1
148,Jalen Nixon,Louisiana,Sun Belt,11,76,142,53.5,828,7,4.9,5,3.5,5.8,5.23,10.9,75.3,111.7,,jalen-nixon-1
149,Andrew McNulty,North Texas,CUSA,8,81,170,47.6,820,3,1.8,4,2.4,4.8,4.12,10.1,102.5,89.3,,andrew-mcnulty-1
150,Kilton Anderson,Fresno State,MWC,8,78,157,49.7,817,2,1.3,5,3.2,5.2,4.03,10.5,102.1,91.2,,kilton-anderson-1
151,Kurt Palandech,Nevada-Las Vegas,MWC,11,75,152,49.3,794,9,5.9,5,3.3,5.2,4.93,10.6,72.2,106.2,,kurt-palandech-1
152,James Tabary*,Arkansas State,Sun Belt,8,65,105,61.9,788,4,3.8,6,5.7,7.5,5.70,12.1,98.5,126.1,,james-tabary-1
