Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
299,Cam Akers*,Florida State,ACC,13,1,1,100.0,47,0,0.0,0,0.0,47.0,47.00,47.0,3.6,494.8,,cam-akers-1
300,Joel Lanning*,Iowa State,Big 12,13,3,4,75.0,47,1,25.0,0,0.0,11.8,16.75,15.7,3.6,256.2,,joel-lanning-2
301,Ryan Agnew*,San Diego State,MWC,7,4,7,57.1,47,0,0.0,0,0.0,6.7,6.71,11.8,6.7,113.5,,ryan-agnew-1
302,Cedrick Wilson Jr.*,Boise State,MWC,14,2,3,66.7,46,0,0.0,0,0.0,15.3,15.33,23.0,3.3,195.5,,cedrick-wilson-2
303,Malik Willis*,Auburn,SEC,7,6,7,85.7,45,1,14.3,0,0.0,6.4,9.29,7.5,6.4,186.9,,malik-willis-1
304,Joe Schopper*,Purdue,Big Ten,13,2,2,100.0,44,0,0.0,0,0.0,22.0,22.00,22.0,3.4,284.8,,joe-schopper-1
305,Bryce Rivers,UTSA,CUSA,3,5,8,62.5,43,0,0.0,2,25.0,5.4,-5.88,8.6,14.3,57.7,,bryce-rivers-1
306,Jaron Johnson,Eastern Michigan,MAC,12,1,1,100.0,43,1,100.0,0,0.0,43.0,63.00,43.0,3.6,791.2,,jaron-johnson-1
307,Matt Fink*,USC,Pac-12,3,6,9,66.7,43,0,0.0,0,0.0,4.8,4.78,7.2,14.3,106.8,,matt-fink-1
308,Trey Sermon*,Oklahoma,Big 12,14,1,1,100.0,42,0,0.0,0,0.0,42.0,42.00,42.0,3.0,452.8,,trey-sermon-1
309,Blake Barnett*,Arizona State,Pac-12,3,3,5,60.0,40,0,0.0,1,20.0,8.0,-1.00,13.3,13.3,87.2,,blake-barnett-2
310,Keishawn Watson,Western Michigan,MAC,12,2,2,100.0,40,2,100.0,0,0.0,20.0,40.00,20.0,3.3,598.0,,keishawn-watson-1
311,Sam Allen,San Jose State,MWC,5,5,13,38.5,40,0,0.0,2,15.4,3.1,-3.85,8.0,8.0,33.5,,sam-allen-1
312,Caleb Wilson*,UCLA,Pac-12,5,1,1,100.0,39,0,0.0,0,0.0,39.0,39.00,39.0,7.8,427.6,,caleb-wilson-2
313,Cameron Echols-Luper*,Western Kentucky,CUSA,10,1,1,100.0,39,0,0.0,0,0.0,39.0,39.00,39.0,3.9,427.6,,cameron-echols-luper-1
314,Kavika Johnson,UTEP,CUSA,12,1,1,100.0,38,0,0.0,0,0.0,38.0,38.00,38.0,3.2,419.2,,kavika-johnson-1
315,Dante Pettis*,Washington,Pac-12,13,1,1,100.0,36,0,0.0,0,0.0,36.0,36.00,36.0,2.8,402.4,AA,dante-pettis-1
316,Jack Coan*,Wisconsin,Big Ten,6,5,5,100.0,36,0,0.0,0,0.0,7.2,7.20,7.2,6.0,160.5,,jack-coan-1
317,Saquon Barkley*,Penn State,Big Ten,13,2,2,100.0,36,1,50.0,0,0.0,18.0,28.00,18.0,2.8,416.2,H-4AA,saquon-barkley-1
318,Anthony Miller*,Memphis,American,13,1,3,33.3,35,0,0.0,0,0.0,11.7,11.67,35.0,2.7,131.3,AA,anthony-miller-6
319,Thomas Owens*,Florida International,CUSA,9,1,1,100.0,35,1,100.0,0,0.0,35.0,55.00,35.0,3.9,724.0,,thomas-owens-1
320,Chauncey Mason*,Arkansas State,Sun Belt,9,1,1,100.0,34,0,0.0,0,0.0,34.0,34.00,34.0,3.8,385.6,,chauncey-mason-1
321,Quinn Shanbour*,North Texas,CUSA,14,4,6,66.7,34,1,16.7,0,0.0,5.7,9.00,8.5,2.4,169.3,,quinn-shanbour-1
322,Trey Quinn*,SMU,American,13,1,2,50.0,34,0,0.0,1,50.0,17.0,-5.50,34.0,2.6,92.8,,trey-quinn-1
323,Colten Rastetter*,Iowa,Big Ten,13,2,2,100.0,33,0,0.0,0,0.0,16.5,16.50,16.5,2.5,238.6,,colten-rastetter-1
324,Isaiah Sanders,Air Force,MWC,3,4,15,26.7,33,0,0.0,1,6.7,2.2,-0.80,8.3,11.0,31.8,,isaiah-sanders-1
325,Zac Thomas*,Appalachian State,Sun Belt,4,6,10,60.0,33,0,0.0,0,0.0,3.3,3.30,5.5,8.3,87.7,,zac-thomas-2
326,Ross Trail,Cincinnati,American,2,5,9,55.6,31,0,0.0,0,0.0,3.4,3.44,6.2,15.5,84.5,,ross-trail-1
327,Tyler Williams,Air Force,MWC,7,1,1,100.0,31,0,0.0,0,0.0,31.0,31.00,31.0,4.4,360.4,,tyler-williams-5
328,Monteo Garrett,Georgia Southern,Sun Belt,12,1,1,100.0,30,0,0.0,0,0.0,30.0,30.00,30.0,2.5,352.0,,monteo-garrett-1
329,Aaren Vaughns*,Utah State,MWC,12,1,2,50.0,29,1,50.0,0,0.0,14.5,24.50,29.0,2.4,336.8,,aaren-vaughns-1
330,Jacob Eason*,Georgia,SEC,5,4,7,57.1,28,0,0.0,0,0.0,4.0,4.00,7.0,5.6,90.7,,jacob-eason-1
331,Ke'Mon Freeman*,SMU,American,13,1,3,33.3,28,0,0.0,0,0.0,9.3,9.33,28.0,2.2,111.7,,kemon-freemon-1
332,Dalton Demos,Coastal Carolina,Sun Belt,7,3,11,27.3,27,0,0.0,1,9.1,2.5,-1.64,9.0,3.9,29.7,,dalton-demos-1
333,Desmon White*,Texas Christian,Big 12,14,1,1,100.0,27,1,100.0,0,0.0,27.0,47.00,27.0,1.9,656.8,,desmon-white-1
334,Lil'Jordan Humphrey*,Texas,Big 12,12,1,3,33.3,27,0,0.0,0,0.0,9.0,9.00,27.0,2.3,108.9,,liljordan-humphrey-1
335,Malik Williams*,Appalachian State,Sun Belt,13,1,3,33.3,27,1,33.3,0,0.0,9.0,15.67,27.0,2.1,218.9,,malik-williams-2
336,Lindell Stone*,Virginia,ACC,1,2,9,22.2,26,0,0.0,2,22.2,2.9,-7.11,13.0,26.0,2.0,,lindell-stone-1
337,Patrick Smith*,Middle Tennessee State,CUSA,11,1,1,100.0,26,0,0.0,0,0.0,26.0,26.00,26.0,2.4,318.4,,patrick-smith-1
338,Tuli Wily-Matagi,Oregon State,Pac-12,12,1,1,100.0,26,1,100.0,0,0.0,26.0,46.00,26.0,2.2,648.4,,tuli-wily-matagi-1
339,Jaylen Samuels*,North Carolina State,ACC,13,1,2,50.0,25,0,0.0,0,0.0,12.5,12.50,25.0,1.9,155.0,,jaylen-samuels-1
340,Zac Everett*,Southern Mississippi,CUSA,12,1,1,100.0,25,0,0.0,0,0.0,25.0,25.00,25.0,2.1,310.0,,zac-everett-1
341,Geraud Sanders,Air Force,MWC,11,1,1,100.0,24,0,0.0,0,0.0,24.0,24.00,24.0,2.2,301.6,,geraud-sanders-1
342,Jackson Anthrop*,Purdue,Big Ten,13,1,1,100.0,24,0,0.0,0,0.0,24.0,24.00,24.0,1.8,301.6,,jackson-anthrop-1
343,Jeremy Larkin*,Northwestern,Big Ten,13,1,1,100.0,24,0,0.0,0,0.0,24.0,24.00,24.0,1.8,301.6,,jeremy-larkin-1
344,Stone Wilson*,Florida International,CUSA,13,1,1,100.0,24,1,100.0,0,0.0,24.0,44.00,24.0,1.8,631.6,,stone-wilson-1
345,Christian Blake*,Northern Illinois,MAC,13,2,4,50.0,23,0,0.0,0,0.0,5.8,5.75,11.5,1.8,98.3,,christian-blake-1
346,Westin Elliott*,Louisiana Tech,CUSA,4,4,9,44.4,23,1,11.1,0,0.0,2.6,4.78,5.8,5.8,102.6,,westin-elliott-1
347,Austin Conway*,Wyoming,MWC,13,2,2,100.0,22,0,0.0,0,0.0,11.0,11.00,11.0,1.7,192.4,,austin-conway-1
348,Charles Nelson*,Oregon,Pac-12,10,1,1,100.0,22,1,100.0,0,0.0,22.0,42.00,22.0,2.2,614.8,,charles-nelson-2
349,Chase Mummau*,Virginia Tech,ACC,1,1,1,100.0,22,0,0.0,0,0.0,22.0,22.00,22.0,22.0,284.8,,chase-mummau-1
350,Cole McDonald,Hawaii,MWC,6,5,9,55.6,22,1,11.1,0,0.0,2.4,4.67,4.4,3.7,112.8,,cole-mcdonald-1
351,Cody Grace*,Arkansas State,Sun Belt,11,1,1,100.0,21,0,0.0,0,0.0,21.0,21.00,21.0,1.9,276.4,,cody-grace-1
352,Michael Carrillo,San Jose State,MWC,3,2,3,66.7,21,1,33.3,0,0.0,7.0,13.67,10.5,7.0,235.5,,michael-carrillo-1
353,Michael Julian*,Toledo,MAC,10,2,6,33.3,21,0,0.0,0,0.0,3.5,3.50,10.5,2.1,62.7,,michael-julian-1
354,Casey Marksberry,Colorado,Pac-12,1,2,3,66.7,20,0,0.0,0,0.0,6.7,6.67,10.0,20.0,122.7,,casey-marksberry-1
355,Gavin Locklear*,North Carolina State,ACC,12,1,1,100.0,20,0,0.0,0,0.0,20.0,20.00,20.0,1.7,268.0,,gavin-locklear-1
356,Jared Atkinson,Baylor,Big 12,12,1,1,100.0,20,0,0.0,0,0.0,20.0,20.00,20.0,1.7,268.0,,jared-atkinson-1
357,Reid Herring,East Carolina,American,2,1,1,100.0,20,1,100.0,0,0.0,20.0,40.00,20.0,10.0,598.0,,reid-herring-1
358,Todd Centeio*,Temple,American,2,2,2,100.0,20,0,0.0,0,0.0,10.0,10.00,10.0,10.0,184.0,,todd-centeio-1
359,Darius Hoggins,Louisiana,Sun Belt,10,1,1,100.0,19,0,0.0,0,0.0,19.0,19.00,19.0,1.9,259.6,,darius-hoggins-1
360,Demari Simpkins*,Utah,Pac-12,13,2,4,50.0,19,1,25.0,0,0.0,4.8,9.75,9.5,1.5,172.4,,demari-simpkins-1
361,Allen Staggers*,Southern Mississippi,CUSA,13,1,2,50.0,18,0,0.0,0,0.0,9.0,9.00,18.0,1.4,125.6,,allen-staggers-1
362,Jerrod Heard*,Texas,Big 12,12,2,3,66.7,18,0,0.0,0,0.0,6.0,6.00,9.0,1.5,117.1,,jerrod-heard-1
