,name,prediction 2024
0,Jordan Morgan,10.204833333333333
1,Joe Alt,11.589666666666666
2,Taliese Fuaga,8.882099999999998
3,JC Latham,6.150166666666667
4,Amarius Mims,6.770944444444445
5,Tyler Guyton,9.123777777777777
6,Graham Barton,7.391833333333333
7,Delmar Glaze,2.1599880952380954
8,Matt Goncalves,8.751333333333333
9,Christian Haynes,3.5538333333333343
10,Blake Fisher,8.614633333333336
11,Layden Robinson,2.918
12,Caedan Wallace,6.636783333333335
13,Roger Rosengarten,6.709055555555541
14,Javon Foster,2.2449000000000003
15,Brandon Coleman,3.3994047619047616
16,Cooper Beebe,2.5246099206349215
17,Kingsley Suamataia,8.316833333333332
18,Dominick Puni,3.0112952380952382
19,Christian Jones,0.5497333333333333
20,Trevor Keegan,1.9978
21,Hunter Nourzad,3.0209999999999995
22,Sedrick Van Pran,2.2832333333333334
23,Sataoa Laumea,1.1461666666666668
24,Dylan McMahon,1.4526666666666668
25,Jarrett Kingston,1.2881865079365071
26,Nick Samac,1.8701666666666645
27,Nathan Thomas,1.0493666666666668
28,Travis Glover,1.7923333333333336
29,Michael Jurgens,0.8939999999999994
30,Tylan Grable,1.7512500000000002
31,Zach Frazier,7.490133333333334
32,Zak Zinter,6.043849999999999
33,Isaiah Adams,3.6520833333333305
34,Patrick Paul,7.949999999999999
35,Olumuyiwa Fashanu,10.749999999999998
36,KT Leveston,1.396522222222222
37,Walter Rouse,0.7850000000000001
38,Beaux Limmer,1.6643944444444443
39,Nick Gargiulo,0.6468666666666666
40,Matt Lee,0.747655555555555
41,Christian Mahogany,2.019000000000001
42,Jacob Monk,1.3998333333333335
43,LaDarius Henderson,0.8761666666666666
44,Tanor Bortolini,1.3095000000000006
45,Troy Fautanu,6.398566666666667
46,Jackson Powers-Johnson,8.167766666666665
