Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Austin Reed*,Western Kentucky,CUSA,14,389,603,64.5,4746,40,6.6,11,1.8,7.9,8.38,12.2,339.0,148.9,,austin-reed-2
2,Michael Penix Jr.*,Washington,Pac-12,13,362,554,65.3,4641,31,5.6,8,1.4,8.4,8.85,12.8,357.0,151.3,H-8,michael-penix-jr-1
3,Caleb Williams*,USC,Pac-12,14,333,500,66.6,4537,42,8.4,5,1.0,9.1,10.30,13.6,324.1,168.5,HMaxwellAA,caleb-williams-3
4,Drake Maye*,North Carolina,ACC,14,342,517,66.2,4321,38,7.4,7,1.4,8.4,9.22,12.6,308.6,157.9,H-10,drake-maye-1
5,Kyle Vantrease*,Georgia Southern,Sun Belt,13,371,604,61.4,4253,27,4.5,16,2.6,7.0,6.74,11.5,327.2,130.0,,kyle-vantrease-1
6,Stetson Bennett*,Georgia,SEC,15,310,454,68.3,4128,27,5.9,7,1.5,9.1,9.59,13.3,275.2,161.2,H-4,stetson-bennett-1
7,Clayton Tune*,Houston,American,13,334,496,67.3,4074,40,8.1,10,2.0,8.2,8.92,12.2,313.4,158.9,,clayton-tune-1
8,Frank Harris*,UTSA,CUSA,14,328,471,69.6,4063,32,6.8,9,1.9,8.6,9.13,12.4,290.2,160.7,,frank-harris-3
9,Will Rogers*,Mississippi State,SEC,13,415,610,68.0,3974,35,5.7,8,1.3,6.5,7.07,9.6,305.7,139.1,,will-rogers-1
10,Holton Ahlers*,East Carolina,American,13,315,469,67.2,3708,28,6.0,5,1.1,7.9,8.62,11.8,285.2,151.1,,holton-ahlers-1
11,Sam Hartman*,Wake Forest,ACC,12,270,428,63.1,3701,38,8.9,12,2.8,8.6,9.16,13.7,308.4,159.4,,sam-hartman-1
12,Max Duggan*,TCU,Big 12,15,267,419,63.7,3698,32,7.6,8,1.9,8.8,9.49,13.9,246.5,159.2,H-2,max-duggan-1
13,C.J. Stroud*,Ohio State,Big Ten,13,258,389,66.3,3688,41,10.5,6,1.5,9.5,10.89,14.3,283.7,177.7,H-3,cj-stroud-1
14,Jayden De Laura,Arizona,Pac-12,12,272,435,62.5,3685,25,5.7,13,3.0,8.5,8.28,13.5,307.1,146.7,,jayden-de-laura-1
15,Bo Nix*,Oregon,Pac-12,13,294,409,71.9,3593,29,7.1,7,1.7,8.8,9.43,12.2,276.4,165.7,,bo-nix-1
16,Seth Henigan*,Memphis,American,13,285,445,64.0,3559,22,4.9,8,1.8,8.0,8.18,12.5,273.8,143.9,,seth-henigan-1
17,Austin Aune*,North Texas,CUSA,14,232,411,56.4,3547,33,8.0,15,3.6,8.6,8.59,15.3,253.4,148.1,,austin-aune-1
18,Tanner Mordecai*,SMU,American,12,288,443,65.0,3524,33,7.4,10,2.3,8.0,8.43,12.2,293.7,151.9,,tanner-mordecai-1
19,Aidan O'Connell*,Purdue,Big Ten,12,320,499,64.1,3490,22,4.4,13,2.6,7.0,6.70,10.9,290.8,132.2,,aidan-oconnell-1
20,Carter Bradley*,South Alabama,Sun Belt,13,275,425,64.7,3335,28,6.6,12,2.8,7.8,7.89,12.1,256.5,146.7,,carter-bradley-1
21,Bryce Young*,Alabama,SEC,12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,H-6,bryce-young-1
22,Kurtis Rourke*,Ohio,MAC,11,244,353,69.1,3257,25,7.1,4,1.1,9.2,10.13,13.3,296.1,167.7,,kurtis-rourke-1
23,Chevan Cordeiro*,San Jose State,MWC,12,259,427,60.7,3251,23,5.4,6,1.4,7.6,8.06,12.6,270.9,139.6,,chevan-cordeiro-1
24,Cameron Ward*,Washington State,Pac-12,13,320,497,64.4,3232,23,4.6,9,1.8,6.5,6.61,10.1,248.6,130.7,,cameron-ward-1
25,Jordan Travis*,Florida State,ACC,13,226,353,64.0,3214,24,6.8,5,1.4,9.1,9.83,14.2,247.2,160.1,,jordan-travis-1
26,Jaren Hall*,BYU,Ind,12,248,376,66.0,3171,31,8.2,6,1.6,8.4,9.36,12.8,264.3,160.8,,jaren-hall-1
27,Dorian Thompson-Robinson*,UCLA,Pac-12,13,266,382,69.6,3169,27,7.1,10,2.6,8.3,8.53,11.9,243.8,157.4,,dorian-thompson-robinson-1
28,Dillon Gabriel*,Oklahoma,Big 12,12,230,367,62.7,3168,25,6.8,6,1.6,8.6,9.26,13.8,264.0,154.4,,dillon-gabriel-1
29,Chase Cunningham*,Middle Tennessee State,CUSA,12,309,463,66.7,3156,21,4.5,10,2.2,6.8,6.75,10.2,263.0,134.6,,chase-cunningham-1
30,Hendon Hooker*,Tennessee,SEC,11,229,329,69.6,3135,27,8.2,2,0.6,9.5,10.90,13.7,285.0,175.5,H-5,hendon-hooker-1
31,Jack Plummer,California,Pac-12,12,282,451,62.5,3119,21,4.7,9,2.0,6.9,6.95,11.1,259.9,132.0,,jack-plummer-1
32,Hunter Dekkers,Iowa State,Big 12,12,302,457,66.1,3044,19,4.2,14,3.1,6.7,6.11,10.1,253.7,129.6,,hunter-dekkers-1
33,Cameron Rising*,Utah,Pac-12,13,249,385,64.7,3034,26,6.8,8,2.1,7.9,8.30,12.2,233.4,149.0,,cameron-rising-1
34,Cole Snyder*,Buffalo,MAC,13,271,461,58.8,3030,18,3.9,8,1.7,6.6,6.57,11.2,233.1,123.4,,cole-snyder-2
35,E.J. Warner,Temple,American,11,268,443,60.5,3028,18,4.1,12,2.7,6.8,6.43,11.3,275.3,125.9,,ej-warner-1
36,Spencer Rattler*,South Carolina,SEC,13,264,399,66.2,3026,18,4.5,12,3.0,7.6,7.13,11.5,232.8,138.7,,spencer-rattler-1
37,Michael Pratt*,Tulane,American,13,215,338,63.6,3009,27,8.0,5,1.5,8.9,9.83,14.0,231.5,161.8,,michael-pratt-1
38,Taulia Tagovailoa*,Maryland,Big Ten,12,262,391,67.0,3008,18,4.6,8,2.0,7.7,7.69,11.5,250.7,142.7,,taulia-tagovailoa-1
39,Jaxson Dart*,Ole Miss,SEC,13,226,362,62.4,2974,20,5.5,11,3.0,8.2,7.95,13.2,228.8,143.6,,jaxson-dart-1
40,Riley Leonard*,Duke,ACC,13,250,392,63.8,2967,20,5.1,6,1.5,7.6,7.90,11.9,228.2,141.1,,riley-leonard-1
41,Tanner McKee,Stanford,Pac-12,12,264,426,62.0,2947,13,3.1,8,1.9,6.9,6.68,11.2,245.6,126.4,,tanner-mckee-1
42,Chase Brice,Appalachian State,Sun Belt,12,219,349,62.8,2921,27,7.7,6,1.7,8.4,9.14,13.3,243.4,155.1,,chase-brice-1
43,Jayden Daniels*,LSU,SEC,14,266,388,68.6,2913,17,4.4,3,0.8,7.5,8.04,11.0,208.1,144.5,,jayden-daniels-1
44,Hayden Wolff,Old Dominion,Sun Belt,12,234,413,56.7,2908,18,4.4,6,1.5,7.0,7.26,12.4,242.3,127.3,,hayden-wolff-1
45,Jake Haener*,Fresno State,MWC,10,252,350,72.0,2896,20,5.7,3,0.9,8.3,9.03,11.5,289.6,158.6,,jake-haener-1
46,Sean Clifford*,Penn State,Big Ten,13,226,351,64.4,2822,24,6.8,7,2.0,8.0,8.51,12.5,217.1,150.5,,sean-clifford-1
47,Gunnar Watson*,Troy,Sun Belt,13,206,335,61.5,2818,14,4.2,12,3.6,8.4,7.64,13.7,216.8,138.8,,gunnar-watson-1
48,Blake Shapen*,Baylor,Big 12,13,233,368,63.3,2790,18,4.9,10,2.7,7.6,7.34,12.0,214.6,137.7,,blake-shapen-1
49,Brady Cook*,Missouri,SEC,13,248,383,64.8,2739,14,3.7,7,1.8,7.2,7.06,11.0,210.7,133.2,,brady-cook-1
50,Ben Bryant*,Cincinnati,American,11,213,348,61.2,2731,21,6.0,7,2.0,7.8,8.15,12.8,248.3,143.0,,ben-bryant-1
