Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
222,Sam Huard,Washington,Pac-12,4,22,42,52.4,241,1,2.4,4,9.5,5.7,1.93,11.0,60.3,89.4,,sam-huard-1
223,Christian Veilleux*,Penn State,Big Ten,2,16,26,61.5,238,3,11.5,0,0.0,9.2,11.46,14.9,119.0,176.5,,christian-veilleux-1
224,Collin Schlee*,Kent State,MAC,10,17,24,70.8,238,1,4.2,0,0.0,9.9,10.75,14.0,23.8,167.9,,collin-schlee-1
225,Trey Lowe III,Southern Mississippi,CUSA,2,23,42,54.8,232,1,2.4,2,4.8,5.5,3.86,10.1,116.0,99.5,,trey-lowe-iii-1
226,Katravis Marsh,South Florida,American,4,20,41,48.8,231,1,2.4,3,7.3,5.6,2.83,11.6,57.8,89.5,,katravis-marsh-1
227,Connor Cigelske,Georgia Southern,Sun Belt,2,22,38,57.9,229,0,0.0,1,2.6,6.0,4.84,10.4,114.5,103.3,,connor-cigelske-1
228,Drew Pyne*,Notre Dame,Ind,2,15,30,50.0,224,2,6.7,0,0.0,7.5,8.80,14.9,112.0,134.7,,drew-pyne-1
229,Preston Hutchinson*,Eastern Michigan,MAC,8,23,40,57.5,216,1,2.5,2,5.0,5.4,3.65,9.4,27.0,101.1,,preston-hutchinson-1
230,Peter Parrish,Memphis,American,3,31,48,64.6,215,0,0.0,3,6.3,4.5,1.67,6.9,71.7,89.7,,peter-parrish-1
231,Davis Beville*,Pitt,ACC,3,17,22,77.3,207,1,4.5,1,4.5,9.4,8.27,12.2,69.0,162.2,,davis-beville-1
232,Nick Tronti,Florida Atlantic,CUSA,6,19,36,52.8,202,0,0.0,1,2.8,5.6,4.36,10.6,33.7,94.4,,nick-tronti-1
233,Victor Gabalis*,Washington State,Pac-12,3,17,36,47.2,199,2,5.6,0,0.0,5.5,6.64,11.7,66.3,112.0,,victor-gabalis-1
234,Hunter Dekkers*,Iowa State,Big 12,4,20,36,55.6,193,2,5.6,1,2.8,5.4,5.22,9.7,48.3,113.4,,hunter-dekkers-1
235,Josh Adkins*,UTSA,CUSA,7,18,33,54.5,192,2,6.1,0,0.0,5.8,7.03,10.7,27.4,123.4,,josh-adkins-1
236,Luke Altmyer*,Ole Miss,SEC,5,20,37,54.1,192,1,2.7,2,5.4,5.2,3.30,9.6,38.4,95.8,,luke-altmyer-1
237,TJ Mcmahon,Rice,CUSA,11,12,20,60.0,191,2,10.0,1,5.0,9.6,9.30,15.9,17.4,163.2,,tj-mcmahon-1
238,Frank Gore Jr.,Southern Mississippi,CUSA,12,10,16,62.5,189,4,25.0,1,6.3,11.8,14.00,18.9,15.8,231.7,,frank-gore-jr-1
239,Cade Fortin,South Florida,American,5,25,48,52.1,183,0,0.0,2,4.2,3.8,1.94,7.3,36.6,75.8,,cade-fortin-1
240,Chance Lovertich*,Mississippi State,SEC,2,13,18,72.2,179,1,5.6,0,0.0,9.9,11.06,13.8,89.5,174.1,,chance-lovertich-1
241,Jacolby Criswell*,North Carolina,ACC,4,13,21,61.9,179,1,4.8,0,0.0,8.5,9.48,13.8,44.8,149.2,,jacolby-criswell-1
242,Carson Beck*,Georgia,SEC,4,10,23,43.5,176,2,8.7,2,8.7,7.7,5.48,17.6,44.0,119.1,,carson-beck-1
243,Cooper Legas*,Utah State,MWC,2,11,20,55.0,171,2,10.0,1,5.0,8.6,8.30,15.5,85.5,149.8,,cooper-legas-1
244,Justin Ibieta,Tulane,American,5,13,22,59.1,166,2,9.1,2,9.1,7.5,5.27,12.8,33.2,134.3,,justin-ibieta-1
