Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
446,D.L. Knock*,Ohio,MAC,13,1,1,100.0,2,1,100.0,0,0.0,2.0,22.00,2.0,0.2,446.8,,dl-knock-1
447,Jackson Tyner,Texas Tech,Big 12,3,1,8,12.5,2,0,0.0,0,0.0,0.3,0.25,2.0,0.7,14.6,,jackson-tyner-1
448,Jahquez Evans,South Florida,American,8,1,3,33.3,2,0,0.0,0,0.0,0.7,0.67,2.0,0.3,38.9,,jahquez-evans-1
449,Ke'Mon Freeman*,SMU,American,13,1,2,50.0,2,1,50.0,0,0.0,1.0,11.00,2.0,0.2,223.4,,kemon-freemon-1
450,Kyle Greenwell*,UAB,CUSA,14,1,2,50.0,2,0,0.0,0,0.0,1.0,1.00,2.0,0.1,58.4,,kyle-greenwell-1
451,Nash Griffin*,Virginia,ACC,14,1,1,100.0,2,0,0.0,0,0.0,2.0,2.00,2.0,0.1,116.8,,nash-griffin-1
452,Nathan Priestley*,Georgia,SEC,2,1,2,50.0,2,0,0.0,0,0.0,1.0,1.00,2.0,1.0,58.4,,nathan-priestley-1
453,Rontavious Groves*,North Carolina,ACC,13,1,1,100.0,2,1,100.0,0,0.0,2.0,22.00,2.0,0.2,446.8,,rontavious-groves-1
454,Rontavius Groves*,North Carolina,ACC,13,1,1,100.0,2,1,100.0,0,0.0,2.0,22.00,2.0,0.2,446.8,,rontavius-groves-1
455,Trey Lowe III,West Virginia,Big 12,5,2,2,100.0,2,0,0.0,0,0.0,1.0,1.00,1.0,0.4,108.4,,trey-lowe-iii-1
456,Daniel Richardson*,Central Michigan,MAC,3,1,3,33.3,1,0,0.0,0,0.0,0.3,0.33,1.0,0.3,36.1,,daniel-richardson-1
457,Kelton Moore*,Nevada,MWC,10,1,1,100.0,1,0,0.0,0,0.0,1.0,1.00,1.0,0.1,108.4,,kelton-moore-1
458,Rakeem Boyd,Arkansas,SEC,12,1,1,100.0,1,0,0.0,0,0.0,1.0,1.00,1.0,0.1,108.4,,rakeem-boyd-2
459,Seth Green*,Minnesota,Big Ten,12,1,1,100.0,1,1,100.0,0,0.0,1.0,21.00,1.0,0.1,438.4,,seth-green-1
460,Aaron Fuller*,Washington,Pac-12,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,aaron-fuller-1
461,Aaron Young,Duke,ACC,12,0,2,0.0,0,0,0.0,1,50.0,0.0,-22.50,,0.0,-100.0,,aaron-young-3
462,Adam Barry*,Temple,American,13,1,1,100.0,0,0,0.0,0,0.0,0.0,0.00,0.0,0.0,100.0,,adam-barry-1
463,Adrian Hardy*,Louisiana Tech,CUSA,10,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,adrian-hardy-1
464,Alec Hallman*,Florida International,CUSA,6,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,alec-hallman-1
465,Amari Rodgers*,Clemson,ACC,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,amari-rodgers-1
466,Anthony Jones*,Florida International,CUSA,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,anthony-jones-8
467,Arryn Siposs*,Auburn,SEC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,arryn-siposs-1
468,Austin Conway*,Wyoming,MWC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,austin-conway-1
469,Austin Parker,Duke,ACC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,austin-parker-2
470,Ben Batson*,Clemson,ACC,10,1,1,100.0,0,0,0.0,0,0.0,0.0,0.00,0.0,0.0,100.0,,ben-batson-1
471,Blake Clark*,Iowa State,Big 12,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,blake-clark-1
472,Casey Washington*,Illinois,Big Ten,10,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,casey-washington-1
473,Chinedu Ogbonna,Massachusetts,Ind,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,chinedu-ogbonna-1
474,Cody White*,Michigan State,Big Ten,13,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,cody-white-3
475,Cole Kramer*,Minnesota,Big Ten,3,0,2,0.0,0,0,0.0,1,50.0,0.0,-22.50,,0.0,-100.0,,cole-kramer-1
476,Daniel Rodriguez,Oregon State,Pac-12,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,daniel-rodriguez-3
